HPO	Associated Genes
Dilatation	COL5A1,UBR1,FOXE3,BAZ1B,KCNAB2,ALDH18A1,PIGY,PTPN11,CAVIN1,GANAB,RPGRIP1L,PTPN22,SMAD3,FLNB,NOD2,PKD1,TGFBR3,PKP2,RNASEH2C,WDFY3,POR,TMEM67,SALL4,ADA2,PGM3,NKX2-5,GABRD,PRKAR1A,RFC2,NPPA,TANC2,PEX12,SEMA3E,TRMT1,MYT1L,BPTF,FARSB,CYP11B1,CRKL,ROBO4,MYH11,ANGPTL6,KCNH1,EFEMP2,COL4A1,ELN,SOX10,PRDM16,TSC2,ZMPSTE24,CHD7,OFD1,BICC1,PTEN,MED12,NOTCH1,KANSL1,RYR2,ERMARD,TGFB3,CHST3,IFIH1,TPM3,TGFBR1,CLIP2,SMAD4,MNX1,PLOD3,SVBP,LIMK1,HLA-B,TMTC3,IL12B,FMR1,FBLN5,B3GAT3,TREX1,TRAPPC4,STAT3,ENPP1,LTBP4,SKI,ADAR,PBX1,ARF1,MYPN,GATA5,COL5A2,RNASEH2A,SEC63,FBN1,HGD,PKD2,RERE,MKS1,SETD2,COL3A1,MLX,LOX,GTF2I,BGN,MAP1B,NKAP,PIGN,CHRNG,AEBP1,SEC61A1,FLNA,STAT1,ABCC6,GGCX,FBN2,MED13,RAF1,TSC1,GTF2IRD1,CYP17A1,C12ORF57,SAMHD1,ERCC8,NEDD4L,ACTL6B,RLIM,ATP7A,BCR,PRKG1,DNMT3A,TCF20,ACTL6A,ZMIZ1,RNASEH2B,AFF4,RIN2,RPL10,SLC25A24,MARS2,BCORL1,PCNT,SLC2A10,TAB2,MYLK,LRP5,CC2D2A,ERCC6,MYH3,CARS1,DOCK3,EXT1,ARFGEF2,COL1A2,CRB2,MFAP5,WDR19,APC2,TGFBR2,ENG,BRAF,PSMD12,PAM16,GAA,EXT2,EPHB4,NSMCE2,TGFB2,NDE1,NSD1,MAPK1,GMPPB,COL1A1,DDX6,ACTA2,NTNG1,FBXW11,RAI1,SMAD6,BRF1,TBL2,LMNA,KMT2E,MAT2A,PRKCSH,TPM2,THSD1
Dilatation of an abdominal artery	ENG
Dilatation of celiac artery	ENG
Dilatation of mesenteric artery	ENG
Dilatation of renal calices	POLR3A,KMT2A,SMC1A,WAC
Dilatation of the bladder	FOXF1,MYLK,TP63,AQP2,MYOCD,NKX2-1,LMNB1,LMOD1,MYH11,AVPR2,ACTG2
Dilatation of the cerebral artery	ELN,COL5A1,FOXE3,COL5A2,BICC1,FBN1,PKD2,GANAB,COL3A1,LOX,TGFB3,PCNT,BGN,SMAD3,MYLK,PKD1,TGFBR3,TGFBR1,STAT1,SMAD4,GGCX,PLOD3,PRKAR1A,MFAP5,TGFBR2,ENG,GAA,TGFB2,COL1A1,ACTA2,FARSB,COL4A1,PRKG1,MYH11,ANGPTL6,MAT2A,THSD1
Dilatation of the renal pelvis	UBR1,FOXF1,ACTG1,KCNAB2,SMARCA4,PIGY,SIX5,TBC1D24,CDKN1C,CCDC22,PGAP3,RAB18,SOX9,DVL1,DYNC2I1,LAMC2,CRTAP,GPC4,SALL4,NF1,PGAP2,CENPF,CHRM3,MASP1,FAM20C,KIAA0753,MAP3K7,RAB3GAP2,YY1,DYNC2I2,POLE,ATN1,PEX12,SMARCC2,NBN,FANCB,HOXD13,SEMA3E,PLEC,RBM10,SPART,ARNT2,TASP1,EYA1,USP9X,B4GAT1,NFIA,DYNC2H1,FGFR1,B3GLCT,MYMK,PRDM16,LAMA3,CHD7,WASHC5,OFD1,PEX10,PIGW,KANSL1,CCBE1,HLA-DPB1,EBP,MAP2K1,GRIA3,SHH,MED25,GATA3,PEX19,G6PC3,GREB1L,PLD1,MKKS,NSUN2,ARID1B,WNT5A,COG1,MYOD1,STRA6,MYCN,RAB23,PEX3,POLR3A,XDH,NSDHL,IFT80,ARID1A,ZIC3,LTBP4,SKI,DSE,GEMIN4,ROR2,TFAP2A,RERE,SETD2,NRIP1,ATRX,IARS1,PAX7,TP63,PEX2,SRCAP,RECQL4,SHANK3,SOX4,PIGN,LIG4,CTNNB1,GLI3,FLNA,HYLS1,ACTG2,SIX1,TRRAP,SPINK5,TBX1,MBTPS2,COG7,PEX16,KMT2D,PEX5,ERCC8,BCOR,GPC3,PRTN3,ATP7A,DHCR7,LRIG2,SMARCB1,ARID2,FLI1,ACTB,NDUFAF3,FGFR2,RAD51C,LAMB3,PIGV,NCAPG2,KRAS,SOX11,CREBBP,HLA-DPA1,PIGL,CHST14,EP300,PPP3CA,NAA10,TBX18,SMARCE1,CPT2,WDR35,ITGA6,PEX13,MAP2K2,WFS1,ERCC6,APC,TBX15,NXN,TBC1D20,GNB1,PEX11B,BNC2,PEX1,RORA,DYRK1A,ZEB2,KDM6A,APC2,SMARCD1,BRAF,CHRNA3,DPF2,ARL3,PEX26,NSD1,HPSE2,CTLA4,RAB3GAP1,CDC42,KAT6A,SETBP1,DDX6,PEX6,TAPT1,KAT6B,PIEZO2,BRF1,ERBB3,PIGO,RNU4ATAC,PORCN,SOX17,GABRD,PEX14,PTPN22,ITGB4
Dilatation of the sinus of Valsalva	SMAD3
Dilatation of the ventricular cavity	RPL10,RYR2,PKP2,NPPA,EFEMP2,NDE1,GMPPB,FBLN5
Dilated cardiomyopathy	MGME1,UBR1,TNNI3K,SCN5A,MAP3K20,KCNAB2,COX3,SPEG,RRM2B,TRNW,HMGCL,PPCS,TXNRD2,SURF1,MEFV,LAMC2,DES,BOLA3,RBCK1,SYNE2,LAMA4,XK,HAMP,ITGA7,SDHA,SGCB,HACD1,ATP6,FHL2,TRNF,SLC25A4,TRNS1,SGCD,TRNH,TERT,ACAD9,TNNC1,TKFC,CSRP3,PRDM16,LAMA3,NUP107,TAZ,MYH7,ACAD8,COX7B,MYH6,ANKRD11,ND6,TPM3,ND5,ALMS1,HBB,TWNK,SCO2,XRCC4,MMP1,TMPO,CRYAB,NDUFS2,ND3,COX2,VPS13A,DMPK,CAP2,NEXN,ACTC1,DSP,SKI,HCCS,TOP3A,MYPN,GATA5,BBS2,ND1,POLG2,DOLK,TRNL1,RERE,HJV,HADHB,TRNQ,ABCC9,NDUFB8,LDB3,ND4,TRNS2,NDUFB11,TNNT2,RYR1,HADHA,JUP,RAF1,ADCY5,COL7A1,MYL2,DMD,PLN,PSEN1,HAND2,PGM1,FKRP,DSG2,NEBL,PSEN2,POMT2,LAMP2,DPM3,TAF1A,NDUFAF3,LAMB3,CHKB,ATP5F1D,GATAD1,VCL,TSFM,GLB1,BAG3,ACTN2,MYBPC3,SDHD,CPT2,SLC2A10,SYNE1,EPG5,BRCC3,TTN,ANKRD1,TRNV,TPM1,COX1,TRNK,DNAJC19,TMEM43,POLG,LIMS2,RBM20,ACADVL,TNNI3,KAT6B,ACTA1,FHL1,SDHAF1,ERBB3,EYA4,HADH,LMNA,SELENON,ND2,TCAP,GABRD,FKTN,TPM2
Dilated fourth ventricle	TMEM216,H19-ICR,KCNQ1,SMARCA4,TBC1D24,CCDC22,RPGRIP1L,ASXL1,ATP6V0A2,DYNC2I1,SLC35A2,TMEM67,GPC4,LAMA1,POMK,DYNC2I2,SMARCC2,CEP120,NID1,SEMA3E,PSAT1,KIAA0586,TMEM138,SMG9,EVC2,C2CD3,LARGE1,USP9X,B4GAT1,PLG,BUB3,COL4A1,DYNC2H1,FGFR1,CHD7,WASHC5,OFD1,DENND5A,KCNQ1OT1,EBP,POMT1,VPS51,RAC1,FAR1,FLVCR2,B9D2,NRAS,FTO,EVC,ARID1B,PMPCA,MYOD1,CEP55,WARS2,ARMC9,WDR81,NPHP3,TUBB,POLR3A,TRIP13,ATP6V1E1,IFT80,ATXN3,BUB1B,ARID1A,RNF113A,TMEM231,MKS1,POMGNT1,CSPP1,TCTN2,ATP6V1A,CRPPA,SOX4,DOK7,DPH1,PIGN,ZIC1,GLI3,HYLS1,NUP88,PHGDH,KLHL7,MAB21L1,RXYLT1,FKRP,GPC3,POMT2,DHCR7,SMARCB1,ARID2,TMEM237,B3GALNT2,KRAS,SOX11,KIF7,CEP290,WDR73,HRAS,PMM2,MRE11,CPT2,TMEM107,WDR35,SMARCE1,DAG1,POMGNT2,CC2D2A,RPGRIP1,AP1S2,ATXN1,WDPCP,SUFU,B9D1,RAPSN,BUB1,SMARCD1,ATXN2,DPF2,CASK,GMPPB,MUSK,CDC42,CEP57,SLC18A3,PIEZO2,IGF2,PPP1CB,B4GALT1,CDKN1C,FKTN
Dilated superficial abdominal veins	MST1,TCF4,GPR35
Dilated third ventricle	KIAA0586,DNMT1,ODC1,C2CD3,MED25,USP7,ATP6AP2,CSPP1
Dilated vestibule of the inner ear	SOX10
Dilation of lateral ventricles	HS6ST2,COG5,D2HGDH,CSPP1,NEK1,CCDC174,TNFRSF11A,VPS51,SON,ODC1,PTPN23,RAC1,TUBB2B,MED25,GLUL,SLC35A2,ZIC1,NDUFB11,ATP6AP2,GFM2,DCX,PUS3,PPP2R5D,ZEB2,KIDINS220,GCDH,NFIX,GRN,WARS2,VPS13A,TUBB3,KIAA0586,PSAT1,FBXW11,EZH2
Diminished ability to concentrate	TWNK,TBL1X,TREX1,HERC2,POLG,ERF
Diminished motivation	CDON,COQ2,GIGYF2,TMEM240,PRKAR1B,PRKN,SLC2A3,DNAJC13,PDGFB,JPH3,SYNJ1,C9ORF72,PANK2,TBK1,DLL1,FGF8,SQSTM1,PODXL,DCTN1,SNCA,NODAL,TMEM106B,DNAJC6,TGIF1,VPS13C,SHH,CHCHD10,PARK7,ZIC2,SMC1A,ATXN1,VPS35,DISP1,CACNA1A,CP,DCX,NOTCH3,GM2A,GLI2,SPAST,TARDBP,ATXN10,PINK1,HTRA2,TREM2,PRNP,SIX3,PSEN1,GRN,FOXH1,FMR1,PTCH1,ATP13A2,VPS13A,EIF4G1,HLA-DQB1,ACAT1,LRRK2,DNMT1,HMGCL,TDGF1,MAPT,HTT,CHMP2B,STAG2,UCHL1,EHMT1,GBA,SMARCB1,HEXA,SPG21,FUS,GAS1,VCP,FGFR1
Diminished movement	GIGYF2,TMEM240,SLC2A3,POLG2,DNAJC13,RRM2B,AIFM1,SYNJ1,PANK2,FGF14,FXR1,PODXL,SNCA,LMOD3,GFM1,LAMA2,DNAJC6,GLRA1,MTM1,VPS13C,NEB,SLC6A3,DOK7,ALG11,WWOX,VPS35,CHRNG,TPM3,TOR1A,FLVCR2,CP,KLHL41,RAPSN,NUP88,CFL2,CHRND,GPHN,TWNK,CHRNA1,PDE8B,PAM16,MYOD1,PRNP,POLG,MUSK,SLC18A3,ATP13A2,EIF4G1,SLC25A4,MPZ,SLC52A2,LRRK2,LAMP2,ACTA1,HTT,MAPT,PPP2R2B,ERBB3,MRPS16,DPM2,TH,GBA,KLHL40,CNTN1,TPM2
Dimple chin	SEMA3E,NALCN,TBX22,SPECC1L,RUNX2,CHD7,PIEZO2,PIK3R1,MYH3,TFAP2A,TWIST2,CTU2,KCNJ6,ERF,EZH2
Diplopia	GIGYF2,TMEM240,TOP3A,CHRNE,SLC2A1,ATP1A2,HLA-DRB1,AIP,PRKN,DNAJC13,SYNJ1,CDH23,LRP4,PODXL,SCN1A,NF2,SNCA,PTPN22,DNAJC6,VPS13C,CACNA1G,PARK7,DARS2,TGFB1,DOK7,SNAP25,VPS35,SCN4A,ERCC4,CHAT,PDCD1,ANO10,CACNA1A,NOP56,RAPSN,MYO9A,SPTBN2,CHRND,COL13A1,CHRNA1,PINK1,NFKB2,MYO5A,KCNA1,HTRA2,PRNP,SYT2,AGRN,NAB2,PUM1,MUSK,SLC18A3,SLC5A7,EIF4G1,HLA-DQB1,CHRNB1,STAT6,LRRK2,ERCC5,MAPT,UCHL1,SLC25A1,KCND3,SLC1A3,VAMP1,ERCC3,ATXN3,GBA,TPP1,MEN1,DKK1,PRRT2,AK9,SERPINI1,ERCC2
Disc-like vertebral bodies	COL2A1
Discoid lupus rash	NCF1,CYBA,IRAK1,STAT4,CYBB,NCF2,SPP1
Discrete 2 to 5-mm hyper- and hypopigmented macules	KRT5
Disinhibition	TMEM240,SLC2A3,PRKN,PTCHD1,TYROBP,SCN1A,FGF8,SLC45A1,IL1RAPL1,ST3GAL3,GLDC,DNAJC6,NUS1,VPS13C,EEF1A2,MAGEL2,WWOX,CNKSR2,DISP1,SCN3A,CYFIP2,TRAPPC9,FTL,GLI2,AMT,LMAN2L,SARS1,HNMT,LRRK2,TDGF1,MAPT,DALRD3,CHD2,UBA5,GIGYF2,TSC2,UBTF,IQSEC1,AARS1,PLA2G6,DNAJC13,GCSH,TMEM106B,USP7,SQSTM1,TECR,CC2D1A,NODAL,KANSL1,PGAP1,MBOAT7,TGIF1,AP2M1,SLC1A2,SHH,CHCHD10,MED25,GABRG2,ZIC2,GABRB2,GABRA2,VPS35,CRBN,FMN2,DNM1,GRIK2,C12ORF4,KCNA2,NSUN2,SCN2A,FUZ,EDC3,SPAST,HTRA2,TREM2,FOXH1,FMR1,MAOA,EIF4G1,TUSC3,VPS13A,METTL23,SCN1B,KNL1,WDR62,CHMP2B,HIVEP2,SCN9A,AFF2,KCNB1,SYNJ1,C9ORF72,PANK2,DLL1,TOMM40,ATP6V1A,LINS1,TRAK1,ARV1,TNIK,MAN1B1,KDM5B,SLC13A5,CDH2,PHIP,C19ORF12,TSC1,HCN1,NDST1,PSEN1,GRN,PTCH1,ACTL6B,SYNGAP1,PSEN2,UCHL1,ZC3H14,YWHAG,GBA,FUS,SZT2,B3GALNT2,GAS1,SORL1,VCP,CDON,GABRA5,VANGL1,CLTC,CRADD,CREBBP,FGF12,ABCA7,RSRC1,NECAP1,EP300,TBK1,PPP3CA,AP3B2,PODXL,SCN8A,CACNA1B,SNCA,ADAT3,EZR,WASHC4,APP,GABRA1,NTRK1,DHDDS,PARS2,PARK7,CACNA1A,AIMP1,PIGC,DCPS,TARDBP,PINK1,CDK19,MED23,SIX3,NTRK2,CLIP1,FBXW11,FBXO31,GRIN2D,DNMT1,CEP152,HTT,PCDH19,FRRS1L,PRSS12,SLC6A1,STXBP1
Dislocated radial head	SKI,COL5A1,FZD2,COL5A2,CREBBP,CD96,EP300,ASXL1,CHST3,CHRNG,TBX15,NOTCH2,FLNA,IFITM5,ATR,GSC,PRKAR1A,DONSON,BMP1,ARID1B,MAP3K7,B3GALT6,SHOX,B4GALT7,COL1A1,SLC39A13,NOG,SCARF2,EXTL3,B3GAT3,KIF22,RNU4ATAC,GPC6,NIPBL,COL27A1,ERCC1,EXOC6B
Dislocated wrist	FLNB,AEBP1
Dislocation of toes	FHL1
Disorganization of the anterior cerebellar vermis	OPHN1
Displacement of the urethral meatus	UBR1,SLX4,H19-ICR,RIPPLY2,NELFA,LETM1,KCNAB2,MID1,RPL11,PSPH,RPL18,PTPN11,GLI1,CDKN1C,SOX2,CCDC22,CDC45,GRIP1,CTBP1,MTM1,GATA4,SAMD9,FBXL4,SPECC1L,VAC14,PEX14,RAD51,SLC25A10,PTDSS1,SOX9,KDM1A,WWOX,PUF60,POR,ESCO2,DVL1,GPC4,RBBP8,ATP6AP2,ADA2,HBA2,KLHL41,TMEM63A,PRKAR1A,SEC24C,ARX,NKX2-1,COMT,HNF1B,HBA1,FANCD2,POLE,CDH11,SIX6,DKC1,FANCM,STAR,RPS17,FANCE,FANCB,HOXD13,KIAA0586,NPM1,PEX12,EVC2,C2CD3,RPS19,UFD1,FRAS1,TERT,CUL4B,HOXA13,FREM2,HSD3B2,RFWD3,FGFR1,B3GLCT,TERC,MYMK,UBA1,PRDM16,RPS10,CDT1,ZMPSTE24,PDE4D,WASHC5,FANCL,MAP3K1,MED12,PEX10,CTC1,LSS,ZFPM2,LMOD3,NSD2,ERMARD,CCDC8,CILK1,DLL3,CUL7,BRCA1,COX7B,WNT7A,FAT4,CYP21A2,MED25,SIN3A,RAC1,NHP2,HNF4A,NOTCH2,PEX19,TTC37,TTC8,AR,GATAD2B,RTEL1,SMAD4,MNX1,PQBP1,MKKS,NSUN2,B9D2,HES7,FDFT1,FANCA,BDNF,ARVCF,ORC1,EVC,TMEM70,ARID1B,RPL26,DVL3,CLMP,BRIP1,RPS29,WNT5A,COG1,MECP2,MAB21L2,PEX3,TUBB,RSPO1,MTOR,POLR3A,SMCHD1,GATA1,TMEM94,SETD5,FANCC,OBSL1,RPS28,CDC6,EHMT1,BUB1B,HDAC8,RREB1,RPL5,SKI,HCCS,WNT4,ALG12,USB1,COLEC10,MCTP2,SRD5A2,MAD2L2,RPL27,TFAP2A,RERE,WHCR,SETD2,PALB2,COL3A1,RPS24,DHX37,CSPP1,EFNB1,FANCF,SRCAP,ATRX,PEX2,TP63,ARCN1,CYB5A,NR0B1,ATPAF2,RPL31,PNPLA6,ISL1,PIGN,LIG4,CHRNG,GLI3,FLNA,HYLS1,ATR,NDUFB11,SSR4,ORC4,KDM5B,FANCI,MESP2,RAF1,GMNN,TBX1,MED12L,XRCC2,CYP17A1,HUWE1,BRCA2,PEX16,KMT2D,PEX5,HIRA,OGT,DACT1,SYNGAP1,BCOR,GPC3,RLIM,PAX6,TINF2,RPS7,RPS27,DHCR7,GP1BB,TSR2,RPL35,PITX2,NR5A1,KLHL40,ZMIZ1,RPS26,DYNC2LI1,RAD51C,FGFR2,ARL6IP6,VAMP7,DCHS1,AFF4,KDM3B,FIG4,RPL10,DMRT3,FZD2,CPLX1,KRAS,KIF7,CREBBP,RPL35A,EP300,UBE2A,BMP4,NAA10,UBE2T,ADAT3,FGFR3,KIFBP,PCNT,WDR35,FANCG,COLEC11,PEX13,WRAP53,EPG5,NEB,PPP1R12A,FOXC1,SMC3,SMC1A,ERCC4,WT1,CARS1,PEX11B,RTTN,SUFU,PEX1,DNAJC19,ZEB2,DYRK1A,SALL1,ABL1,CYP11A1,RPL15,RAD21,KDM6A,APC2,BRAF,PARN,FGFRL1,PSMD12,CHRNA3,PEX26,KMT2A,NSD1,NOP10,MAMLD1,MAPRE2,CDC42,PEX6,SETBP1,SRY,THOC6,TBX22,TAPT1,FGF10,ACTA1,PIEZO2,LFNG,IGF2,ORC6,LMNA,RPS15A,CDCA7,NIPBL,GABRD,SMS,JMJD1C
Disproportionate prominence of the femoral medial condyle	LMX1B
Disproportionate short stature	KYNU,BMPER,LBR,ARSB,COL2A1,GLI1,NKX3-2,PCYT1A,ASXL1,SOX9,FLNB,DVL1,PTH1R,DYNC2I1,PUF60,CRTAP,GSC,PRKAR1A,IFT52,DYNC2I2,PEX7,CEP120,KIAA0586,EVC2,DYM,RAB33B,ALPL,IHH,COMP,DYNC2H1,FGFR1,B3GLCT,XYLT1,SIK3,EBP,DLL3,MATN3,WNT7A,RMRP,COL11A1,CHST3,P3H1,GDF5,HSPG2,IFT122,CREB3L1,DDRGK1,SLC10A7,EVC,SMARCAL1,XRCC4,TONSL,WNT5A,DDR2,COG1,MAB21L2,MTOR,BMPR1B,IFT80,B3GAT3,CANT1,XYLT2,SLC35D1,ALG12,MMP13,TRIP11,RSPRY1,GNPAT,ROR2,GPX4,PKDCC,SLC39A8,CSPP1,AGPS,GALNS,MYSM1,BGN,ARCN1,COL10A1,MESP2,MBTPS2,DHCR7,SLC26A2,GPC6,DYNC2LI1,FZD2,PPIB,GLB1,POC1A,FGFR3,HDAC6,PCNT,CFAP410,WDR35,TBX6,IFT43,SMC1A,TBX15,NXN,ACAN,COL1A2,TRPV4,TRAPPC2,WDR19,MIR140,NSMCE2,SHOX,DHCR24,KMT2A,COL1A1,INPPL1,BRF1,EXTL3,NPR2,RNU4ATAC,ACP5,MESD
Disproportionate short-limb short stature	KYNU,LBR,COL2A1,GLI1,PCYT1A,ASXL1,SOX9,FLNB,DVL1,DYNC2I1,PTH1R,CRTAP,GSC,PRKAR1A,IFT52,DYNC2I2,PEX7,CEP120,KIAA0586,EVC2,DYM,ALPL,IHH,COMP,DYNC2H1,FGFR1,B3GLCT,XYLT1,SIK3,EBP,MATN3,RMRP,COL11A1,CHST3,P3H1,GDF5,HSPG2,IFT122,CREB3L1,EVC,DDR2,TONSL,WNT5A,XRCC4,COG1,MAB21L2,MTOR,IFT80,BMPR1B,B3GAT3,SLC35D1,CANT1,ALG12,MMP13,TRIP11,GNPAT,ROR2,GPX4,PKDCC,CSPP1,SLC39A8,AGPS,MYSM1,ARCN1,COL10A1,MBTPS2,DHCR7,SLC26A2,GPC6,DYNC2LI1,FZD2,PPIB,FGFR3,HDAC6,WDR35,CFAP410,IFT43,SMC1A,TBX15,NXN,ACAN,COL1A2,WDR19,MIR140,DHCR24,SHOX,NSMCE2,KMT2A,COL1A1,INPPL1,MESD
Disproportionate short-trunk short stature	TRIP11,BMPER,RSPRY1,ARSB,COL2A1,GLB1,NKX3-2,DLL3,BGN,GALNS,TBX6,FLNB,CHST3,PUF60,TRPV4,TRAPPC2,MESP2,SMARCAL1,DYM,BRF1,RAB33B,ACP5,XYLT2
Disproportionate shortening of the tibia	NEK1
Disproportionate tall stature	NELFA,LETM1,DSE,FBN1,CHST14,COL2A1,MED12,PTEN,FKBP14,BCORL1,NSD2,LOX,ATP6V1A,SMAD3,NKAP,ZDHHC9,RET,WDFY3,TGFBR1,DOCK3,COL1A2,FBN2,MED13,SVBP,LARS2,PLOD1,TGFBR2,AKT1,PSMD12,CBS,TANC2,ACTL6B,DDX6,RLIM,NTNG1,TRMT1,BPTF,DLG4,MYT1L,ATP6V1E1,MAN2B1,FBXW11,HERC1,ZNF469,TRAPPC4,ASXL3,TCF20,KMT2E,ACTL6A,UPF3B,ZMIZ1,SMS,HPGD
Disseminated cryptosporidium infection	MBL2
Disseminated intravascular coagulation	CD46,PROS1,BCOR,TBL1XR1,PRKAR1A,RARA,FIP1L1,ZBTB16,STAT5B,HELLPAR,NPM1,CFH,IRF2BP2,NABP1,SERPIND1,NLRC4,CFI,STAT3,PML,NUMA1
Disseminated nontuberculous mycobacterial infection	IKBKG
Dissociated sensory loss	PRRT2,SCN1A,CACNA1A,ATP1A2
Distal amyotrophy	DYSF,MYOT,DNM2,FLRT1,DCTN1,ABCA1,TRNE,MSTO1,MFN2,HSPB1,MME,KLHL9,MPV17,CAV3,MATR3,MYO9A,SACS,SLC25A21,SDHA,ABHD12,C12ORF65,YY1,SETX,AGRN,KIF5A,HK1,SLC5A7,PLEKHG5,GBA2,SIGMAR1,PMP22,EGR2,SPART,CUL4B,KIF1C,ADSS1,TIA1,ZC4H2,SOX10,ATAD3A,GARS1,AGL,IGHMBP2,FGD4,PEX10,B4GALNT1,SQSTM1,KIF1A,FXN,GDAP1,JPH1,HARS1,MED25,ANO5,TPM3,YARS1,PLOD3,SVBP,NDRG1,RAB7A,MAG,ASAH1,LITAF,SPAST,COL13A1,NGLY1,GNE,PRPS1,SYT2,SPTBN4,NDUFA9,FBLN5,VPS13A,BICD2,SPG11,DMPK,MORC2,CCT5,VAMP1,ATXN3,MYH14,PNKP,SBF2,KLC2,SH3TC2,ATL1,ALS2,TBCE,BSCL2,LRP12,IBA57,ZBTB20,DOK7,PNPLA6,CPLANE1,LDB3,SNAP25,LRSAM1,PTRH2,RYR1,PRX,C19ORF12,FLNC,TDP1,SLC39A13,ATP7A,SLC25A1,TYMP,SLC52A3,GAN,DCAF8,HINT1,CHP1,INF2,KIF1B,APTX,VCP,HSPB8,MRE11,VPS13D,ACTN2,AFG3L2,SDHD,CEP126,MTMR2,ATXN1,CHAT,REEP1,TFG,TRPV4,COA7,COASY,STUB1,ATXN2,NEFL,POLG,SLC18A3,ZFYVE26,MPZ,ANG,SDHB,ACTA1,SDHAF1,GJB1,CPT1C,PDK3,LMNA,TCAP,RAI1,KDM5C
Distal arthrogryposis	CCDC47,FIG4,FBN2,LGI4,PIEZO2,ATAD1,MYH8,PI4KA,MYBPC1,MED13L,CHST14,ADGRG1,MYOD1,YY1,GLI3,ACADM,SRPX2,TNNI2
Distal femoral bowing	GDF5,RSPRY1,DMP1,ENPP1
Distal femoral metaphyseal abnormality	SETBP1,COL10A1
Distal femoral metaphyseal irregularity	COL10A1
Distal ileal atresia	DIS3L2
Distal joint laxity	COL6A1,ALG2,COL13A1,COL6A2,PYROXD1,COL6A3,COMP
Distal lower limb amyotrophy	KLC2,ATL1,DYSF,FGD4,FLRT1,TRNE,MFN2,HSPB1,TPM3,RYR1,TFG,MAG,FLNC,YY1,KIF5A,BICD2,MORC2,CUL4B,GJB1,CPT1C,PDK3,LMNA,ATXN3,HINT1,ADSS1,INF2,TCAP,KDM5C
Distal lower limb muscle weakness	ATL1,VHL,MTTP,GARS1,PNKP,HSPB8,DYSF,FGD4,BSCL2,IBA57,MYH7,HARS1,SORD,HSPB3,MFN2,CHCHD10,HSPB1,MME,TTN,PNPLA6,SNAP25,ANO5,TPM3,CHAT,DES,REEP1,TRPV4,MYO9A,COL13A1,GNE,FLNC,TDP1,C12ORF65,SYT2,AGRN,ATP6,SARDH,HK1,GMPPB,SLC18A3,SLC5A7,SCYL1,PLEC,PMP22,MORC2,MAPT,SLC25A1,CPT1C,EXTL3,VAMP1,LMNA,HINT1,ADSS1,TCAP
Distal muscle weakness	SPTLC1,VHL,MAP3K20,DYSF,RRM2B,MYOT,DNM2,SCN1A,DCTN1,ABCA1,DHH,MFN2,RELA,DARS2,HSPB1,MME,KLHL9,DES,MPV17,CAV3,MATR3,FLVCR1,MYO9A,DYNC1H1,SACS,SLC25A21,NAGA,C12ORF65,BIN1,MYH2,SETX,ATP6,AGRN,NUTM2B-AS1,HK1,SLC5A7,PLEKHG5,SIGMAR1,PLEC,PMP22,EGR2,MAPT,ADSS1,DGUOK,TIA1,PPP1R15B,ZC4H2,SOX10,AARS1,DPAGT1,GARS1,IGHMBP2,AIFM1,MYBPC1,FGD4,GTPBP2,SQSTM1,MYH7,GDAP1,JPH1,HARS1,SORD,GRIA3,VAPB,CHCHD10,MED25,CPOX,ANO5,TPM3,YARS1,TK2,RAB7A,NDRG1,LITAF,COL13A1,COL6A2,GNE,PRPS1,SYT2,SARDH,CRYAB,FBLN5,VPS13A,BICD2,SPG11,PABPN1,DMPK,COL6A1,MORC2,VAMP1,ATXN3,MYH14,PNKP,HMBS,SBF2,SH3TC2,ATL1,ALG2,COLQ,C11ORF95,COL6A3,C9ORF72,BSCL2,LRP12,IBA57,HADHB,HSPB3,TNPO3,PNPLA6,SNAP25,LDB3,LRSAM1,PTRH2,LAMB2,RYR1,HADHA,TRMT10A,PRX,SPTLC2,C19ORF12,FLNC,TDP1,ALG14,HNRNPA1,ATP7A,GYG1,RFC1,SLC25A1,GAN,TYMP,DCAF8,HINT1,CHP1,INF2,FUS,KIF1B,VCP,XRCC1,FIG4,ATP1A2,MTTP,HSPB8,TBK1,VPS13D,ACTN2,GFPT1,AFG3L2,PNPLA2,NEB,TTN,MTMR2,CHAT,GCH1,REEP1,CACNA1A,TRPV4,COA7,TARDBP,GIPC1,HNRNPA2B1,NEFL,POLG,GMPPB,SLC18A3,SCYL1,MPZ,ANG,ACTA1,GJB1,EXTL3,CPT1C,LMNA,PRRT2,TCAP,RAI1,ELOVL5
Distal peripheral sensory neuropathy	TRNQ,TRNF,SPG11,HADHA,TRNS1,TRNH,ND1,COX3,ND6,TRNW,TRNL1,COX2,ND4,TRNS2,DKK1,IBA57,ND5,COX1,HADHB,GSN
Distal renal tubular acidosis	GATA3,CA2,SLC4A1,FN1,ATP6V0A4
