Symbol	Full Name	Summary
ACO2	aconitase 2 	The protein encoded by this gene belongs to the aconitase/IPM isomerase family. It is an enzyme that catalyzes the interconversion of citrate to isocitrate via cis-aconitate in the second step of the TCA cycle. This protein is encoded in the nucleus and functions in the mitochondrion. It was found to be one of the mitochondrial matrix proteins that are preferentially degraded by the serine protease 15(PRSS15), also known as Lon protease, after oxidative modification. [provided by RefSeq, Jul 2008].
POLD1	DNA polymerase delta 1, catalytic subunit 	This gene encodes the 125-kDa catalytic subunit of DNA polymerase delta. DNA polymerase delta possesses both polymerase and 3' to 5' exonuclease activity and plays a critical role in DNA replication and repair. Alternatively spliced transcript variants have been observed for this gene, and a pseudogene of this gene is located on the long arm of chromosome 6. [provided by RefSeq, Mar 2012].
TSPAN6	tetraspanin 6 	The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. The protein encoded by this gene is a cell surface glycoprotein and is highly similar in sequence to the transmembrane 4 superfamily member 2 protein. It functions as a negative regulator of retinoic acid-inducible gene I-like receptor-mediated immune signaling via its interaction with the mitochondrial antiviral signaling-centered signalosome. This gene uses alternative polyadenylation sites, and multiple transcript variants result from alternative splicing. [provided by RefSeq, Jul 2013].
RNF139	ring finger protein 139 	The protein encoded by this gene is a multi-membrane spanning protein containing a RING-H2 finger. This protein is located in the endoplasmic reticulum, and has been shown to possess ubiquitin ligase activity. This gene was found to be interrupted by a t(3:8) translocation in a family with hereditary renal and non-medulary thyroid cancer. Studies of the Drosophila counterpart suggested that this protein may interact with tumor suppressor protein VHL, as well as with  COPS5/JAB1, a protein responsible for the degradation of tumor suppressor CDKN1B/P27KIP. [provided by RefSeq, Jul 2008].
NAD	isocitrate dehydrogenase 	Isocitrate dehydrogenases catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate. These enzymes belong to two distinct subclasses, one of which utilizes NAD(+) as the electron acceptor and the other NADP(+). Five isocitrate dehydrogenases have been reported: three NAD(+)-dependent isocitrate dehydrogenases, which localize to the mitochondrial matrix, and two NADP(+)-dependent isocitrate dehydrogenases, one of which is mitochondrial and the other predominantly cytosolic. NAD(+)-dependent isocitrate dehydrogenases catalyze the allosterically regulated rate-limiting step of the tricarboxylic acid cycle. Each isozyme is a heterotetramer that is composed of two alpha subunits, one beta subunit, and one gamma subunit. The protein encoded by this gene is the beta subunit of one isozyme of NAD(+)-dependent isocitrate dehydrogenase. Multiple alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Sep 2016].
PSMA7	proteasome 20S subunit alpha 7 	The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. This gene encodes a member of the peptidase T1A family that functions as a 20S core alpha subunit. The encoded protein interacts with the hepatitis B virus X protein and plays a role in regulating hepatitis C virus internal ribosome entry site (IRES) activity, an activity essential for viral replication. The encoded protein also plays a role in the cellular stress response by regulating hypoxia-inducible factor-1alpha. A pseudogene of this gene is located on the long arm of chromosome 9. [provided by RefSeq, Jul 2012].
HECTD3	HECT domain E3 ubiquitin protein ligase 3 	The protein encoded by this gene transfers ubiquitin from an E2 ubiquitin-conjugating enzyme to targeted substrates, leading to the degradation of those substrates. The encoded protein has been shown to transfer ubiquitin to TRIOBP to facilitate cell cycle progression, and to STX8. [provided by RefSeq, Dec 2012].
EMD	emerin 	Emerin is a serine-rich nuclear membrane protein and a member of the nuclear lamina-associated protein family. It mediates membrane anchorage to the cytoskeleton. Dreifuss-Emery muscular dystrophy is an X-linked inherited degenerative myopathy resulting from mutation in the emerin gene. [provided by RefSeq, Jul 2008].
KDM6B	lysine demethylase 6B 	The protein encoded by this gene is a lysine-specific demethylase that specifically demethylates di- or tri-methylated lysine 27 of histone H3 (H3K27me2 or H3K27me3). H3K27 trimethylation is a repressive epigenetic mark controlling chromatin organization and gene silencing. This protein can also demethylate non-histone proteins such as retinoblastoma protein. Through its demethylation actvity this gene influences cellular differentiation and development, tumorigenesis, inflammatory diseases, and neurodegenerative diseases. This protein has two classical nuclear localization signals at its N-terminus. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Feb 2017].
RAB9B	RAB9B, member RAS oncogene family 	This gene encodes a member of a subfamily of RAS small guanosine triphosphate (GTP)-binding proteins that regulate membrane trafficking. The encoded protein may be involved in endosome-to-Golgi transport. [provided by RefSeq, Jan 2010].
POLE	DNA polymerase epsilon, catalytic subunit 	This gene encodes the catalytic subunit of DNA polymerase epsilon. The enzyme is involved in DNA repair and chromosomal DNA replication. Mutations in this gene have been associated with colorectal cancer 12 and facial dysmorphism, immunodeficiency, livedo, and short stature. [provided by RefSeq, Sep 2013].
EPS8L2	EPS8 like 2 	This gene encodes a member of the EPS8 gene family. The encoded protein, like other members of the family, is thought to link growth factor stimulation to actin organization, generating functional redundancy in the pathways that regulate actin cytoskeletal remodeling. [provided by RefSeq, Dec 2008].
AURKA	aurora kinase A 	The protein encoded by this gene is a cell cycle-regulated kinase that appears to be involved in microtubule formation and/or stabilization at the spindle pole during chromosome segregation. The encoded protein is found at the centrosome in interphase cells and at the spindle poles in mitosis. This gene may play a role in tumor development and progression. A processed pseudogene of this gene has been found on chromosome 1, and an unprocessed pseudogene has been found on chromosome 10. Multiple transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008].
NIPA2	NIPA magnesium transporter 2 	This gene encodes a possible magnesium transporter. This gene is located adjacent to the imprinted domain in the Prader-Willi syndrome deletion region of chromosome 15. Alternate splicing results in multiple transcript variants. Pseudogenes of this gene are found on chromosomes 3, 7 and 21.[provided by RefSeq, May 2010].
SERPINA5	serpin family A member 5 	The protein encoded by this gene is a member of the serpin family of proteins, a group of proteins that inhibit serine proteases. This gene is one in a cluster of serpin genes located on the q arm of chromosome 14. This family member is a glycoprotein that can inhibit several serine proteases, including protein C and various plasminogen activators and kallikreins, and it thus plays diverse roles in hemostasis and thrombosis in multiple organs. [provided by RefSeq, Aug 2012].
CHSY1	chondroitin sulfate synthase 1 	This gene encodes a member of the chondroitin N-acetylgalactosaminyltransferase family. These enzymes possess dual glucuronyltransferase and galactosaminyltransferase activity and play critical roles in the biosynthesis of chondroitin sulfate, a glycosaminoglycan involved in many biological processes including cell proliferation and morphogenesis. Decreased expression of this gene may play a role in colorectal cancer, and mutations in this gene are a cause of temtamy preaxial brachydactyly syndrome. [provided by RefSeq, Dec 2011].
AAGAB	alpha and gamma adaptin binding protein 	The protein encoded by this gene interacts with the gamma-adaptin and alpha-adaptin subunits of complexes involved in clathrin-coated vesicle trafficking. Mutations in this gene are associated with type I punctate palmoplantar keratoderma. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2012].
RPS27A	ribosomal protein S27a 	Ubiquitin, a highly conserved protein that has a major role in targeting cellular proteins for degradation by the 26S proteosome, is synthesized as a precursor protein consisting of either polyubiquitin chains or a single ubiquitin fused to an unrelated protein. This gene encodes a fusion protein consisting of ubiquitin at the N terminus and ribosomal protein S27a at the C terminus. When expressed in yeast, the protein is post-translationally processed, generating free ubiquitin monomer and ribosomal protein S27a. Ribosomal protein S27a is a component of the 40S subunit of the ribosome and belongs to the S27AE family of ribosomal proteins. It contains C4-type zinc finger domains and is located in the cytoplasm. Pseudogenes derived from this gene are present in the genome. As with ribosomal protein S27a, ribosomal protein L40 is also synthesized as a fusion protein with ubiquitin; similarly, ribosomal protein S30 is synthesized as a fusion protein with the ubiquitin-like protein fubi. Multiple alternatively spliced transcript variants that encode the same proteins have been identified.[provided by RefSeq, Sep 2008].
DHRS4L2	dehydrogenase/reductase 4 like 2 	This gene encodes a member of the short chain dehydrogenase reductase family. The encoded protein may be an NADPH dependent retinol oxidoreductase. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Aug 2010].
SGK2	serum/glucocorticoid regulated kinase 2 	This gene encodes a serine/threonine protein kinase. Although this gene product is similar to serum- and glucocorticoid-induced protein kinase (SGK), this gene is not induced by serum or glucocorticoids. This gene is induced in response to signals that activate phosphatidylinositol 3-kinase, which is also true for SGK. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2010].
HPD	4-hydroxyphenylpyruvate dioxygenase 	The protein encoded by this gene is an enzyme in the catabolic pathway of tyrosine. The encoded protein catalyzes the conversion of 4-hydroxyphenylpyruvate to homogentisate. Defects in this gene are a cause of tyrosinemia type 3 (TYRO3) and hawkinsinuria (HAWK). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2010].
NLRP14	NLR family pyrin domain containing 14 	The protein encoded by this gene belongs to the NALP protein family. Members of the NALP protein family typically contain a NACHT domain, a NACHT-associated domain (NAD), a C-terminal leucine-rich repeat (LRR) region, and an N-terminal pyrin domain (PYD). This protein may play a regulatory role in the innate immune system as similar family members belong to the signal-induced multiprotein complex, the inflammasome, that activates the pro-inflammatory caspases, caspase-1 and caspase-5. [provided by RefSeq, Jul 2008].
MYOZ1	myozenin 1 	The protein encoded by this gene is primarily expressed in the skeletal muscle, and belongs to the myozenin family. Members of this family function as calcineurin-interacting proteins that help tether calcineurin to the sarcomere of cardiac and skeletal muscle. They play an important role in modulation of calcineurin signaling. [provided by RefSeq, Apr 2012].
SLC37A4	solute carrier family 37 member 4 	This gene regulates glucose-6-phosphate transport from the cytoplasm to the lumen of the endoplasmic reticulum, in order to maintain glucose homeostasis. It also plays a role in ATP-mediated calcium sequestration in the lumen of the endoplasmic reticulum. Mutations in this gene have been associated with various forms of glycogen storage disease. Alternative splicing in this gene results in multiple transcript variants.[provided by RefSeq, Aug 2009].
LETMD1	LETM1 domain containing 1 	This gene encodes a mitochondrial outer membrane protein. It has a potential role in tumorigenesis, which may result from negative regulation of the p53 tumor suppressor gene. Alternatively spliced transcript variants have been noted for this gene. [provided by RefSeq, Aug 2011].
SVOPL	SVOP like 	The protein encoded by this gene is thought to be a member of solute carrier family 22, which includes transmembrane proteins that transport toxins and drugs from the body. This gene is a paralog of the SVOP gene that encodes synaptic vesicle 2-related protein. [provided by RefSeq, Sep 2016].
SCO2	synthesis of cytochrome C oxidase 2 	Cytochrome c oxidase (COX) catalyzes the transfer of electrons from cytochrome c to molecular oxygen, which helps to maintain the proton gradient across the inner mitochondrial membrane that is necessary for aerobic ATP production. Human COX is a multimeric protein complex that requires several assembly factors; this gene encodes one of the COX assembly factors. The encoded protein is a metallochaperone that is involved in the biogenesis of cytochrome c oxidase subunit II. Mutations in this gene are associated with fatal infantile encephalocardiomyopathy and myopia 6. [provided by RefSeq, Oct 2014].
EZR	ezrin 	The cytoplasmic peripheral membrane protein encoded by this gene functions as a protein-tyrosine kinase substrate in microvilli. As a member of the ERM protein family, this protein serves as an intermediate between the plasma membrane and the actin cytoskeleton. This protein plays a key role in cell surface structure adhesion, migration and organization, and it has been implicated in various human cancers. A pseudogene located on chromosome 3 has been identified for this gene. Alternatively spliced variants have also been described for this gene. [provided by RefSeq, Jul 2008].
AASDH	aminoadipate-semialdehyde dehydrogenase 	This gene encodes a member of the non-ribosome peptide syntesase (NRPS) enzyme family. The encoded protein contains an AMP-binding domain, PP-binding (phosphopantetheine, or pantetheine 4'phosphate-binding) domain and the Pyrrolo-quinoline quinon (PQQ) binding domain. The protein is expressed in several adult tissues. [provided by RefSeq, Apr 2016].
GSS	glutathione synthetase 	Glutathione is important for a variety of biological functions, including protection of cells from oxidative damage by free radicals, detoxification of xenobiotics, and membrane transport. The protein encoded by this gene functions as a homodimer to catalyze the second step of glutathione biosynthesis, which is the ATP-dependent conversion of gamma-L-glutamyl-L-cysteine to glutathione. Defects in this gene are a cause of glutathione synthetase deficiency. [provided by RefSeq, Jul 2008].
NPC1	NPC intracellular cholesterol transporter 1 	This gene encodes a large protein that resides in the limiting membrane of endosomes and lysosomes and mediates intracellular cholesterol trafficking via binding of cholesterol to its N-terminal domain. It is predicted to have a cytoplasmic C-terminus, 13 transmembrane domains, and 3 large loops in the lumen of the endosome - the last loop being at the N-terminus. This protein transports low-density lipoproteins to late endosomal/lysosomal compartments where they are hydrolized and released as free cholesterol. Defects in this gene cause Niemann-Pick type C disease, a rare autosomal recessive neurodegenerative disorder characterized by over accumulation of cholesterol and glycosphingolipids in late endosomal/lysosomal compartments.[provided by RefSeq, Aug 2009].
MPI	mannose phosphate isomerase 	Phosphomannose isomerase catalyzes the interconversion of fructose-6-phosphate and mannose-6-phosphate and plays a critical role in maintaining the supply of D-mannose derivatives, which are required for most glycosylation reactions. Mutations in the MPI gene were found in patients with carbohydrate-deficient glycoprotein syndrome, type Ib. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014].
DSG4	desmoglein 4 	This gene encodes a member of the desmoglein subgroup of desmosomal cadherins. The encoded preproprotein is proteolytically processed to generate the mature protein. This protein is a transmembrane component of desmosomes and may play a role in cell-cell adhesion in epithelial cells. Mutations in the gene are associated with localized autosomal recessive hypotrichosis and monilethrix, characterized by impaired hair growth. [provided by RefSeq, May 2016].
EPHX2	epoxide hydrolase 2 	This gene encodes a member of the epoxide hydrolase family. The protein, found in both the cytosol and peroxisomes, binds to specific epoxides and converts them to the corresponding dihydrodiols. Mutations in this gene have been associated with familial hypercholesterolemia. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2012].
ATXN3	ataxin 3 	Machado-Joseph disease, also known as spinocerebellar ataxia-3, is an autosomal dominant neurologic disorder. The protein encoded by this gene contains (CAG)n repeats in the coding region, and the expansion of these repeats from the normal 12-44 to 52-86 is one cause of Machado-Joseph disease. There is a negative correlation between the age of onset and CAG repeat numbers. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2016].
RBM8A	RNA binding motif protein 8A 	This gene encodes a protein with a conserved RNA-binding motif. The protein is found predominantly in the nucleus, although it is also present in the cytoplasm. It is preferentially associated with mRNAs produced by splicing, including both nuclear mRNAs and newly exported cytoplasmic mRNAs. It is thought that the protein remains associated with spliced mRNAs as a tag to indicate where introns had been present, thus coupling pre- and post-mRNA splicing events. Previously, it was thought that two genes encode this protein, RBM8A and RBM8B; it is now thought that the RBM8B locus is a pseudogene. There are two alternate translation start codons with this gene, which result in two forms of the protein. An allele mutation and a low-frequency noncoding single-nucleotide polymorphism (SNP) in this gene cause thrombocytopenia-absent radius (TAR) syndrome. [provided by RefSeq, Jul 2013].
ARSD	arylsulfatase D 	The protein encoded by this gene is a member of the sulfatase family. Sulfatases are essential for the correct composition of bone and cartilage matrix. The encoded protein is postranslationally glycosylated and localized to the lysosome. This gene is located within a cluster of similar arylsulfatase genes on chromosome X. A related pseudogene has been identified in the pseudoautosomal region of chromosome Y. [provided by RefSeq, Jul 2011].
GNAT1	G protein subunit alpha transducin 1 	Transducin is a 3-subunit guanine nucleotide-binding protein (G protein) which stimulates the coupling of rhodopsin and cGMP-phoshodiesterase during visual impulses. The transducin alpha subunits in rods and cones are encoded by separate genes. This gene encodes the alpha subunit in rods. This gene is also expressed in other cells, and has been implicated in bitter taste transduction in rat taste cells. Mutations in this gene result in autosomal dominant congenital stationary night blindness. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Feb 2009].
ARSG	arylsulfatase G 	The protein encoded by this gene belongs to the sulfatase enzyme family. Sulfatases hydrolyze sulfate esters from sulfated steroids, carbohydrates, proteoglycans, and glycolipids. They are involved in hormone biosynthesis, modulation of cell signaling, and degradation of macromolecules. This protein displays arylsulfatase activity at acidic pH, as is typical of lysosomal sulfatases, and has been shown to localize in the lysosomes. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jun 2012]. COMPLETENESS: complete on the 3' end.
TYMP	thymidine phosphorylase 	This gene encodes an angiogenic factor which promotes angiogenesis in vivo and stimulates the in vitro growth of a variety of endothelial cells. It has a highly restricted target cell specificity acting only on endothelial cells. Mutations in this gene have been associated with mitochondrial neurogastrointestinal encephalomyopathy. Multiple alternatively spliced transcript variants have been identified. [provided by RefSeq, Apr 2012].
FKBP14	FKBP prolyl isomerase 14 	The protein encoded by this gene is a member of the FK506-binding protein family of peptidyl-prolyl cis-trans isomerases. The encoded protein is found in the lumen of the endoplasmic reticulum, where it is thought to accelerate protein folding. Defects in this gene are a cause of a type of Ehlers-Danlos syndrome (EDS). Both a protein-coding variant and noncoding variants are transcribed from this gene. [provided by RefSeq, Mar 2012].
COA5	cytochrome c oxidase assembly factor 5 	This gene encodes an ortholog of yeast Pet191, which in yeast is a subunit of a large oligomeric complex associated with the mitochondrial inner membrane, and required for the assembly of the cytochrome c oxidase complex. Mutations in this gene are associated with mitochondrial complex IV deficiency, a disorder of the mitochondrial respiratory chain with heterogeneous clinical manifestations, ranging from isolated myopathy to a severe disease affecting several tissues and organs. [provided by RefSeq, Dec 2011].
PRR5-ARHGAP8	PRR5-ARHGAP8 readthrough 	The PRR5-ARHGAP8 mRNA is an infrequent but naturally occurring read-through transcript of the neighboring proline rich 5, renal (PRR5) and Rho GTPase activating protein 8 (ARHGAP8) genes. The resulting fusion protein contains sequence identity with each individual gene product, and it includes domains characteristic of a RhoGAP protein. The significance of this read-through transcript and the function of its protein product have not yet been determined. [provided by RefSeq, Nov 2010].
FANCA	FA complementation group A 	The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group A. Alternative splicing results in multiple transcript variants encoding different isoforms. Mutations in this gene are the most common cause of Fanconi anemia. [provided by RefSeq, Jul 2008].
TMEM237	transmembrane protein 237 	The protein encoded by this gene is a tetraspanin protein that is thought to be involved in WNT signaling. Defects in this gene are a cause of Joubert syndrome-14. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012].
PITX3	paired like homeodomain 3 	This gene encodes a member of the RIEG/PITX homeobox family, which is in the bicoid class of homeodomain proteins. Members of this family act as transcription factors. This protein is involved in lens formation during eye development. Mutations of this gene have been associated with anterior segment mesenchymal dysgenesis and congenital cataracts. [provided by RefSeq, Jul 2008].
SP140	SP140 nuclear body protein 	This gene encodes a member of the SP100 family of proteins, which are share common domains including an N-terminal homogeneously staining region domain followed by a SP100/autoimmune regulator/NucP41/P75/deformed epidermal autoregulatory factor domain, a plant homeobox zinc finger, and a bromodomain. The encoded protein is interferon-inducible and is expressed at high levels in the nuclei of leukocytes. Variants of this gene have been associated with multiple sclerosis, Crohn's disease, and chronic lymphocytic leukemia. Alternative splicing results in multiple variants. [provided by RefSeq, Aug 2016].
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase 	This is a nuclear gene encoding a mitochondrial enzyme that catalyzes the conversion of 5-phosphonooxy-L-lysine to ammonia, inorganic phosphate, and 2-aminoadipate semialdehyde. Mutations in this gene may cause phosphohydroxylysinuria. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2013].
RPL9	ribosomal protein L9 	Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L6P family of ribosomal proteins. It is located in the cytoplasm. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016].
Duffy blood group	atypical chemokine receptor 1 	The protein encoded by this gene is a glycosylated membrane protein and a non-specific receptor for several chemokines. The encoded protein is the receptor for the human malarial parasites Plasmodium vivax and Plasmodium knowlesi. Polymorphisms in this gene are the basis of the Duffy blood group system. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].
MUC4	mucin 4, cell surface associated 	The major constituents of mucus, the viscous secretion that covers epithelial surfaces such as those in the trachea, colon, and cervix, are highly glycosylated proteins called mucins. These glycoproteins play important roles in the protection of the epithelial cells and have been implicated in epithelial renewal and differentiation. This gene encodes an integral membrane glycoprotein found on the cell surface, although secreted isoforms may exist. At least two dozen transcript variants of this gene have been found, although for many of them the full-length transcript has not been determined or they are found only in tumor tissues. This gene contains a region in the coding sequence which has a variable number (>100) of 48 nt tandem repeats. [provided by RefSeq, Jul 2008].
CISD2	CDGSH iron sulfur domain 2 	The protein encoded by this gene is a zinc finger protein that localizes to the endoplasmic reticulum. The encoded protein binds an iron/sulfur cluster and may be involved in calcium homeostasis. Defects in this gene are a cause of Wolfram syndrome 2. [provided by RefSeq, Mar 2011].
KARS1	lysyl-tRNA synthetase 1 	Aminoacyl-tRNA synthetases are a class of enzymes that charge tRNAs with their cognate amino acids. Lysyl-tRNA synthetase is a homodimer localized to the cytoplasm which belongs to the class II family of tRNA synthetases. It has been shown to be a target of autoantibodies in the human autoimmune diseases, polymyositis or dermatomyositis. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].
PTDSS1	phosphatidylserine synthase 1 	The protein encoded by this gene catalyzes the formation of phosphatidylserine from either phosphatidylcholine or phosphatidylethanolamine. Phosphatidylserine localizes to the mitochondria-associated membrane of the endoplasmic reticulum, where it serves a structural role as well as a signaling role. Defects in this gene are a cause of Lenz-Majewski hyperostotic dwarfism. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2014].
FKBP10	FKBP prolyl isomerase 10 	The protein encoded by this gene belongs to the FKBP-type peptidyl-prolyl cis/trans isomerase (PPIase) family. This protein localizes to the endoplasmic reticulum and acts as a molecular chaperone. Alternatively spliced variants encoding different isoforms have been reported, but their biological validity has not been determined.[provided by RefSeq, Nov 2009].
CASKIN2	CASK interacting protein 2 	This gene encodes a large protein that contains six ankyrin repeats, as well as a Src homology 3 (SH3) domain and two sterile alpha motif (SAM) domains, which may be involved in protein-protein interactions. The C-terminal portion of this protein is proline-rich and contains a conserved region. A related protein interacts with calcium/calmodulin-dependent serine protein kinase (CASK). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2013].
INPPL1	inositol polyphosphate phosphatase like 1 	The protein encoded by this gene is an SH2-containing 5'-inositol phosphatase that is involved in the regulation of insulin function. The encoded protein also plays a role in the regulation of epidermal growth factor receptor turnover and actin remodelling. Additionally, this gene supports metastatic growth in breast cancer and is a valuable biomarker for breast cancer. [provided by RefSeq, Jan 2009].
INE1	inactivation escape 1 	X chromosome inactivation provides dosage compensation for the expression level of X-linked genes from the single X in males and the two in females. This X chromosome gene is intronless and was identified because its transcription escapes X inactivation in females. This gene does not make a protein.[provided by RefSeq, May 2010].
NPRL3	NPR3 like, GATOR1 complex subunit 	The function of the encoded protein is not known. [provided by RefSeq, Aug 2011].
FLAD1	flavin adenine dinucleotide synthetase 1 	This gene encodes the enzyme that catalyzes adenylation of flavin mononucleotide (FMN) to form flavin adenine dinucleotide (FAD) coenzyme. Alternatively spliced transcript variants encoding distinct isoforms have been observed. [provided by RefSeq, Jul 2008].
SLC9A7	solute carrier family 9 member A7 	This gene encodes a sodium and potassium/ proton antiporter that is a member of the solute carrier family 9 protein family. The encoded protein is primarily localized to the trans-Golgi network and is involved in maintaining pH homeostasis in organelles along the secretory and endocytic pathways. This protein may enhance cell growth of certain breast tumors. This gene is part of a gene cluster on chromosome Xp11.23. A pseudogene of this gene is found on chromosome 12. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Mar 2012].
SPATA16	spermatogenesis associated 16 	This gene encodes a testis-specific protein that belongs to the tetratricopeptide repeat-like superfamily. The encoded protein localizes to the Golgi apparatus and may play a role in spermatogenesis. [provided by RefSeq, May 2010].
FGF2	fibroblast growth factor 2 	The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members bind heparin and possess broad mitogenic and angiogenic activities. This protein has been implicated in diverse biological processes, such as limb and nervous system development, wound healing, and tumor growth. The mRNA for this gene contains multiple polyadenylation sites, and is alternatively translated from non-AUG (CUG) and AUG initiation codons, resulting in five different isoforms with distinct properties. The CUG-initiated isoforms are localized in the nucleus and are responsible for the intracrine effect, whereas, the AUG-initiated form is mostly cytosolic and is responsible for the paracrine and autocrine effects of this FGF. [provided by RefSeq, Jul 2008].
POT1	protection of telomeres 1 	This gene is a member of the telombin family and encodes a nuclear protein involved in telomere maintenance. Specifically, this protein functions as a member of a multi-protein complex that binds to the TTAGGG repeats of telomeres, regulating telomere length and protecting chromosome ends from illegitimate recombination, catastrophic chromosome instability, and abnormal chromosome segregation. Increased transcriptional expression of this gene is associated with stomach carcinogenesis and its progression. Alternatively spliced transcript variants have been described. [provided by RefSeq, Jul 2008].
KHNYN	KH and NYN domain containing 	This gene encodes a protein containing a ribonuclease NYN domain. The function of this protein has yet to be determined. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2014].
EPM2AIP1	EPM2A interacting protein 1 	The EPM2A gene, which encodes laforin, is mutated in an autosomal recessive form of adolescent progressive myoclonus epilepsy. The protein encoded by this gene binds to laforin, but its function is not known. This gene is intronless. [provided by RefSeq, Oct 2008].
ANO3	anoctamin 3 	The protein encoded by this gene belongs to the TMEM16 family of predicted membrane proteins, that are also known as anoctamins. While little is known about the function of this gene, mutations in this gene have been associated with some cases of autosomal dominant craniocervical dystonia. Cells from individuals with a mutation in this gene exhibited abnormalities in endoplasmic reticulum-dependent calcium signaling. Studies in rat show that the rat ortholog of this protein interacts with, and modulates the activity of a sodium-activated potassium channel. Deletion of this gene caused increased pain sensitivity in the rat model system. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2015].
B3GAT3	beta-1,3-glucuronyltransferase 3 	The protein encoded by this gene is a member of the glucuronyltransferase gene family, enzymes that exhibit strict acceptor specificity, recognizing nonreducing terminal sugars and their anomeric linkages. This gene product catalyzes the formation of the glycosaminoglycan-protein linkage by way of a glucuronyl transfer reaction in the final step of the biosynthesis of the linkage region of proteoglycans. A pseudogene of this gene has been identified on chromosome 3. [provided by RefSeq, Dec 2013].
CTNNA1	catenin alpha 1 	This gene encodes a member of the catenin family of proteins that play an important role in cell adhesion process by connecting cadherins located on the plasma membrane to the actin filaments inside the cell. The encoded mechanosensing protein contains three vinculin homology domains and undergoes conformational changes in response to cytoskeletal tension, resulting in the reconfiguration of cadherin-actin filament connections. Certain mutations in this gene cause butterfly-shaped pigment dystrophy. [provided by RefSeq, May 2016].
SLC5A1	solute carrier family 5 member 1 	This gene encodes a member of the sodium-dependent glucose transporter (SGLT) family. The encoded integral membrane protein is the primary mediator of dietary glucose and galactose uptake from the intestinal lumen. Mutations in this gene have been associated with glucose-galactose malabsorption. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012].
RNF123	ring finger protein 123 	The protein encoded by this gene contains a C-terminal RING finger domain, a motif present in a variety of functionally distinct proteins and known to be involved in protein-protein and protein-DNA interactions, and an N-terminal SPRY domain. This protein displays E3 ubiquitin ligase activity toward the cyclin-dependent kinase inhibitor 1B which is also known as p27 or KIP1. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016].
